Locustag	Gene	FeatureType	Description
ECB_00055	ksgA	CDS	dimethyladenosine transferase
ECB_00056	pdxA	CDS	4-hydroxythreonine-4-phosphate dehydrogenase
ECB_00057	surA	CDS	peptidyl-prolyl cis-trans isomerase (PPIase)
ECB_00058	imp	CDS	organic solvent tolerance protein precursor
ECB_00059	djlA	CDS	Dna-J like membrane chaperone protein
ECB_00060	rluA	CDS	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)
ECB_00061	hepA	CDS	ATP-dependent helicase HepA
ECB_00062	polB	CDS	DNA polymerase II
ECB_00063	araD	CDS	L-ribulose-5-phosphate 4-epimerase
ECB_00064	araA	CDS	L-arabinose isomerase
ECB_00065	araB	CDS	ribulokinase
ECB_00066	araC	CDS	DNA-binding transcriptional dual regulator
ECB_00067	yabI	CDS	conserved inner membrane protein
ECB_00068	yabJ	CDS	thiamin transporter subunit
ECB_00069	thiP	CDS	thiamin ABC transporter membrane protein
ECB_00070	tbpA	CDS	thiamin transporter subunit
ECB_00071	yabN	CDS	DNA-binding transcriptional regulator
ECB_00072	setA	CDS	broad specificity sugar efflux system
ECB_00073	leuD	CDS	isopropylmalate isomerase small subunit
ECB_00074	leuC	CDS	isopropylmalate isomerase large subunit
ECB_00075	leuB	CDS	3-isopropylmalate dehydrogenase
ECB_00076	leuA	CDS	2-isopropylmalate synthase
ECB_00077	leuL	CDS	leu operon leader peptide
ECB_00078	leuO	CDS	leucine transcriptional activator
ECB_00079	ilvI	CDS	acetolactate synthase III large subunit
ECB_00080	ilvH	CDS	acetolactate synthase small subunit
ECB_00081	fruR	CDS	DNA-binding transcriptional dual regulator
ECB_00082	yabB	CDS	hypothetical protein
ECB_00083	mraW	CDS	S-adenosyl-methyltransferase
ECB_00084	ftsL	CDS	membrane bound cell division protein at septum containing leucine zipper motif
ECB_00085	ftsI	CDS	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)
ECB_00086	murE	CDS	UDP-N-acetylmuramoylalanyl-D-glutamate-2, 6-diaminopimelate ligase
ECB_00087	murF	CDS	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase
ECB_00088	mraY	CDS	phospho-N-acetylmuramoyl-pentapeptide- transferase
ECB_00089	murD	CDS	UDP-N-acetylmuramoyl-L-alanyl-D- glutamatesynthetase
ECB_00090	ftsW	CDS	integral membrane protein involved in stabilizing FstZ ring during cell division
ECB_00091	murG	CDS	N-acetylglucosaminyl transferase
ECB_00092	murC	CDS	UDP-N-acetylmuramate-L-alanine ligase
ECB_00093	ddlB	CDS	D-alanylalanine synthetase
ECB_00094	ftsQ	CDS	membrane anchored protein
ECB_00095	ftsA	CDS	cell division protein
ECB_00096	ftsZ	CDS	cell division protein FtsZ
ECB_00097	lpxC	CDS	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
ECB_00098	yacA	CDS	SecA regulator SecM
ECB_00099	secA	CDS	translocase
ECB_00100	mutT	CDS	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP
ECB_00101	yacG	CDS	zinc-binding protein
ECB_00102	yacF	CDS	hypothetical protein
ECB_00103	coaE	CDS	dephospho-CoA kinase
ECB_00104	guaC	CDS	guanosine 5'-monophosphate oxidoreductase
ECB_00105	hofC	CDS	assembly protein in type IV pilin biogenesis, transmembrane protein
ECB_00106	hofB	CDS	conserved hypothetical protein with nucleoside triphosphate hydrolase domain
ECB_00107	ppdD	CDS	predicted major pilin subunit
ECB_00108	nadC	CDS	nicotinate-nucleotide pyrophosphorylase
ECB_00109	ampD	CDS	N-acetyl-anhydromuranmyl-L-alanine amidase
ECB_00110	ampE	CDS	predicted inner membrane protein
ECB_00111	aroP	CDS	aromatic amino acid transporter
ECB_00112	pdhR	CDS	transcriptional regulator of pyruvate dehydrogenase complex
ECB_00113	aceE	CDS	pyruvate dehydrogenase subunit E1
ECB_00114	aceF	CDS	dihydrolipoamide acetyltransferase
ECB_00115	lpdA	CDS	dihydrolipoamide dehydrogenase
ECB_00116	yacH	CDS	hypothetical protein
ECB_00117	acnB	CDS	aconitate hydratase
ECB_00118	yacL	CDS	hypothetical protein
ECB_00119	speD	CDS	S-adenosylmethionine decarboxylase proenzyme
ECB_00120	speE	CDS	spermidine synthase
ECB_00121	yacC	CDS	hypothetical protein
ECB_00122	cueO	CDS	multicopper oxidase (laccase)
ECB_00123	gcd	CDS	glucose dehydrogenase
ECB_00124	hpt	CDS	hypoxanthine-guanine phosphoribosyltransferase
ECB_00125	yadF	CDS	carbonic anhydrase
ECB_00126	yadG	CDS	predicted transporter subunit: ATP-binding component of ABC superfamily
ECB_00127	yadH	CDS	predicted transporter subunit: membrane component of ABC superfamily
ECB_00128	yadI	CDS	predicted PTS Enzyme IIA
ECB_00129	yadE	CDS	predicted polysaccharide deacetylase lipoprotein
ECB_00130	panD	CDS	aspartate 1-decarboxylase precursor
ECB_00131	yadD	CDS	predicted transposase
ECB_00132	panC	CDS	pantoate-beta-alanine ligase
ECB_00133	panB	CDS	3-methyl-2-oxobutanoate hydroxymethyltransferase
ECB_00134	yadC	CDS	predicted fimbrial-like adhesin protein
ECB_00135	yadK	CDS	predicted fimbrial-like adhesin protein
ECB_00136	yadL	CDS	predicted fimbrial-like adhesin protein
ECB_00137	yadM	CDS	predicted fimbrial-like adhesin protein
ECB_00138	htrE	CDS	predicted outer membrane usher protein
ECB_00139	ecpD	CDS	predicted periplasmic pilin chaperone
ECB_00140	yadN	CDS	predicted fimbrial-like adhesin protein
ECB_00141	folK	CDS	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase
ECB_00142	pcnB	CDS	poly(A) polymerase I
ECB_00143	yadB	CDS	glutamyl-Q tRNA(Asp) synthetase
ECB_00144	dksA	CDS	DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein
ECB_00145	sfsA	CDS	sugar fermentation stimulation protein A
ECB_00146	ligT	CDS	2'-5' RNA ligase
ECB_00147	hrpB	CDS	predicted ATP-dependent helicase
ECB_00148	mrcB	CDS	penicillin-binding protein 1b
ECB_00149	fhuA	CDS	ferrichrome outer membrane transporter
ECB_00150	fhuC	CDS	iron-hydroxamate transporter subunit
ECB_00151	fhuD	CDS	iron-hydroxamate transporter subunit
ECB_00152	fhuB	CDS	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components
ECB_00153	hemL	CDS	glutamate-1-semialdehyde aminotransferase
ECB_00154	yadQ	CDS	chloride channel protein
ECB_00155	yadR	CDS	hypothetical protein
ECB_00156	yadS	CDS	conserved inner membrane protein
ECB_00157	yadT	CDS	vitamin B12-transporter protein BtuF
ECB_00158	pfs	CDS	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
ECB_00159	dgt	CDS	deoxyguanosinetriphosphate triphosphohydrolase
ECB_00160	degP	CDS	serine endoprotease (protease Do), membrane-associated
ECB_00161	cdaR	CDS	DNA-binding transcriptional activator
ECB_00162	yaeH	CDS	hypothetical protein
ECB_00163	yaeI	CDS	predicted phosphatase
ECB_00164	dapD	CDS	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
ECB_00165	glnD	CDS	PII uridylyl-transferase
ECB_00166	map	CDS	methionine aminopeptidase
ECB_00167	rpsB	CDS	30S ribosomal protein S2
ECB_00168	tsf	CDS	elongation factor Ts
ECB_00169	pyrH	CDS	uridylate kinase
ECB_00170	frr	CDS	ribosome releasing factor
ECB_00171	ispC	CDS	1-deoxy-D-xylulose 5-phosphate reductoisomerase
ECB_00172	uppS	CDS	undecaprenyl pyrophosphate synthase
ECB_00173	cdsA	CDS	CDP-diglyceride synthase
ECB_00174	yaeL	CDS	zinc metallopeptidase
ECB_00175	yaeT	CDS	hypothetical protein
ECB_00176	hlpA	CDS	periplasmic chaperone
ECB_00177	lpxD	CDS	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
ECB_00178	fabZ	CDS	(3R)-hydroxymyristoyl ACP dehydratase
ECB_00179	lpxA	CDS	UDP-N-acetylglucosamine acyltransferase
ECB_00180	lpxB	CDS	lipid-A-disaccharide synthase
ECB_00181	rnhB	CDS	ribonuclease HII
ECB_00182	dnaE	CDS	DNA polymerase III subunit alpha
ECB_00183	accA	CDS	acetyl-CoA carboxylase subunit alpha
ECB_00184	ldcC	CDS	lysine decarboxylase 2, constitutive
ECB_00185	yaeR	CDS	predicted lyase
ECB_00186	tilS	CDS	tRNA(Ile)-lysidine synthetase
ECB_00187	rof	CDS	modulator of Rho-dependent transcription termination
ECB_00188	yaeP	CDS	hypothetical protein
ECB_00189	yaeQ	CDS	hypothetical protein
ECB_00190	yaeJ	CDS	hypothetical protein
ECB_00191	cutF	CDS	lipoprotein involved with copper homeostasis and adhesion
ECB_00192	yaeF	CDS	predicted lipoprotein
ECB_00193	proS	CDS	prolyl-tRNA synthetase
ECB_00194	yaeB	CDS	hypothetical protein
ECB_00195	rcsF	CDS	predicted outer membrane protein, signal
ECB_00196	metQ	CDS	DL-methionine transporter subunit
ECB_00197	metI	CDS	DL-methionine transporter subunit
ECB_00198	metN	CDS	DL-methionine transporter subunit
ECB_00199	gmhB	CDS	hypothetical protein
ECB_00200	dkgB	CDS	2,5-diketo-D-gluconate reductase B
ECB_00201	yafC	CDS	predicted DNA-binding transcriptional regulator
ECB_00202	yafD	CDS	hypothetical protein
ECB_00203	yafE	CDS	predicted S-adenosyl-L-methionine-dependent methyltransferase
ECB_00204	mltD	CDS	predicted membrane-bound lytic murein transglycosylase D
ECB_00205	gloB	CDS	predicted hydroxyacylglutathione hydrolase
ECB_00206	yafS	CDS	predicted S-adenosyl-L-methionine-dependent methyltransferase
ECB_00207	rnhA	CDS	ribonuclease H
ECB_00208	dnaQ	CDS	DNA polymerase III subunit epsilon
ECB_00209	yafT	CDS	predicted aminopeptidase
ECB_00210	insA-2	CDS	IS1 protein InsA
ECB_00211	insB-2	CDS	IS1 protein InsB
ECB_00212		CDS	hypothetical protein
ECB_00213	yhhI-1	CDS	predicted transposase
ECB_00214	yafV	CDS	predicted C-N hydrolase family amidase, NAD(P)-binding
ECB_00215	ykfE	CDS	inhibitor of vertebrate C-lysozyme
ECB_00216	fadE	CDS	acyl-CoA dehydrogenase
ECB_00217	lpcA	CDS	phosphoheptose isomerase
ECB_00218	yafJ	CDS	predicted amidotransfease
ECB_00219	yafK	CDS	hypothetical protein
ECB_00220	yafQ	CDS	predicted toxin of the YafQ-DinJ toxin-antitoxin system
ECB_00221	dinJ	CDS	predicted antitoxin of YafQ-DinJ toxin-antitoxin system
ECB_00222	yafL	CDS	predicted lipoprotein and C40 family peptidase
ECB_00223	yafM	CDS	hypothetical protein
ECB_00226	dinB	CDS	DNA polymerase IV
ECB_00227	yafN	CDS	predicted antitoxin of the YafO-YafN toxin-antitoxin system
ECB_00228	yafO	CDS	predicted toxin of the YafO-YafN toxin-antitoxin system
ECB_00229	yafP	CDS	predicted acyltransferase with acyl-CoA N-acyltransferase domain
ECB_00230	ykfJ	CDS	hypothetical protein
ECB_00231	prfH	CDS	peptide chain release factor 2
ECB_00232	pepD	CDS	aminoacyl-histidine dipeptidase (peptidase D)
ECB_00233	gpt	CDS	xanthine phosphoribosyltransferase
ECB_00234	yafA	CDS	fermentation/respiration switch protein
ECB_00235	crl	CDS	DNA-binding transcriptional regulator
ECB_00236	insA-3	CDS	IS1 protein InsA
ECB_00237	insB-3	CDS	IS1 protein InsB
ECB_00238	phoE	CDS	outer membrane phosphoporin protein E
ECB_00239	proB	CDS	gamma-glutamyl kinase
ECB_00240	proA	CDS	gamma-glutamyl phosphate reductase
ECB_00241	yagP	CDS	predicted transcriptional regulator
ECB_00242	yagQ	CDS	hypothetical protein
ECB_00243	yagR	CDS	predicted oxidoreductase with molybdenum-binding domain
ECB_00244	yagS	CDS	predicted oxidoreductase with FAD-binding domain
ECB_00245	yagT	CDS	predicted xanthine dehydrogenase, 2Fe-2S subunit
ECB_00246	yagU	CDS	conserved inner membrane protein
ECB_00247	ykgJ	CDS	predicted ferredoxin
ECB_00248	yagV	CDS	hypothetical protein
ECB_00249	yagW	CDS	predicted receptor
ECB_00250	yagX	CDS	predicted aromatic compound dioxygenase
ECB_00251	yagY	CDS	hypothetical protein
ECB_00252	yagZ	CDS	hypothetical protein
ECB_00253	ykgK	CDS	predicted regulator
ECB_00254	ykgL	CDS	hypothetical protein
ECB_00255	ykgM	CDS	50S ribosomal protein L31
ECB_00256	eaeH	CDS	attaching and effacing protein, pathogenesis factor
ECB_00257	ykgA	CDS	predicted DNA-binding transcriptional regulator
ECB_00258	ykgB	CDS	conserved inner membrane protein
ECB_00259	ykgI	CDS	hypothetical protein
ECB_00260	ykgC	CDS	pyridine nucleotide-disulfide oxidoreductase
ECB_00261	ykgD	CDS	predicted DNA-binding transcriptional regulator
ECB_00262	ykgE	CDS	predicted oxidoreductase
ECB_00263	ykgF	CDS	predicted amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain
ECB_00264	ykgG	CDS	predicted transporter
ECB_00265		CDS	hypothetical protein
ECB_00266	ykgH	CDS	predicted inner membrane protein
ECB_00267	betA	CDS	choline dehydrogenase
ECB_00268	betB	CDS	betaine aldehyde dehydrogenase, NAD-dependent
ECB_00269	betI	CDS	transcriptional regulator BetI
ECB_00270	betT	CDS	choline transporter of high affinity
ECB_00271	yahA	CDS	predicted DNA-binding transcriptional regulator
ECB_00272	yahB	CDS	predicted DNA-bindng transcriptional regulator
ECB_00273	yahC	CDS	predicted inner membrane protein
ECB_00274	yahD	CDS	predicted transcriptional regulator with ankyrin domain
ECB_00275	yahE	CDS	hypothetical protein
ECB_00276	yahF	CDS	predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain
ECB_00277	yahG	CDS	hypothetical protein
ECB_00278	yahI	CDS	predicted carbamate kinase-like protein
ECB_00279	yahJ	CDS	deaminase
ECB_00280	yahK	CDS	predicted oxidoreductase, Zn-dependent and NAD(P)-binding
ECB_00281	yahL	CDS	hypothetical protein
ECB_00282	yahM	CDS	hypothetical protein
ECB_00283	yahN	CDS	neutral amino-acid efflux system
ECB_00284	yahO	CDS	hypothetical protein
ECB_00285	prpR	CDS	DNA-binding transcriptional activator
ECB_00286	prpB	CDS	2-methylisocitrate lyase
ECB_00287	prpC	CDS	2-methylcitrate synthase
ECB_00288	prpD	CDS	2-methylcitrate dehydratase
ECB_00289	prpE	CDS	predicted propionyl-CoA synthetase with ATPase domain
ECB_00290	codB	CDS	cytosine transporter
ECB_00291	codA	CDS	cytosine deaminase
ECB_00292	cynR	CDS	DNA-binding transcriptional dual regulator
ECB_00293	cynT	CDS	carbonic anhydrase
ECB_00294	cynS	CDS	cyanate hydratase
ECB_00295	cynX	CDS	predicted cyanate transporter
ECB_00296	lacA	CDS	galactoside O-acetyltransferase
ECB_00297	lacY	CDS	galactoside permease
ECB_00298	lacZ	CDS	beta-D-galactosidase
ECB_00299	lacI	CDS	lac repressor
ECB_00300	mhpR	CDS	DNA-binding transcriptional activator, 3HPP-binding
ECB_00301	mhpA	CDS	3-(3-hydroxyphenyl)propionate hydroxylase
ECB_00302	mhpB	CDS	2,3-dihydroxyphenylpropionate 1,2-dioxygenase
ECB_00303	mhpC	CDS	2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase
ECB_00304	mhpD	CDS	2-keto-4-pentenoate hydratase
ECB_00305	mhpF	CDS	acetaldehyde dehydrogenase
ECB_00306	mhpE	CDS	4-hydroxy-2-ketovalerate aldolase
ECB_00307	mhpT	CDS	predicted 3-hydroxyphenylpropionic transporter
ECB_00308	yaiL	CDS	nucleoprotein/polynucleotide-associated enzyme
ECB_00309	frmB	CDS	predicted esterase
ECB_00310	frmA	CDS	alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase
ECB_00311	frmR	CDS	regulator protein that represses frmRAB operon
ECB_00312	yaiO	CDS	hypothetical protein
ECB_00313	insB-4	CDS	IS1 protein InsB
ECB_00314	insA-4	CDS	IS1 protein InsA
ECB_00315	tauA	CDS	taurine transporter subunit
ECB_00316	tauB	CDS	taurine transporter subunit
ECB_00317	tauC	CDS	taurine transporter subunit
ECB_00318	tauD	CDS	taurine dioxygenase
ECB_00319	hemB	CDS	delta-aminolevulinic acid dehydratase
ECB_00320		CDS	hypothetical protein
ECB_00321	yaiT	CDS	conserved hypothetical protein
ECB_00322	yaiV	CDS	predicted DNA-binding transcriptional regulator
ECB_00323	ampH	CDS	beta-lactamase/D-alanine carboxypeptidase
ECB_00324	sbmA	CDS	predicted transporter
ECB_00325	yaiW	CDS	predicted DNA-binding transcriptional regulator
ECB_00326	yaiY	CDS	predicted inner membrane protein
ECB_00327	yaiZ	CDS	predicted inner membrane protein
ECB_00328	ddlA	CDS	D-alanylalanine synthetase
ECB_00329	yaiB	CDS	hypothetical protein
ECB_00330	phoA	CDS	bacterial alkaline phosphatase
ECB_00331	psiF	CDS	hypothetical protein
ECB_00332	yaiC	CDS	predicted diguanylate cyclase
ECB_00333	proC	CDS	pyrroline-5-carboxylate reductase
ECB_00334	yaiI	CDS	hypothetical protein
ECB_00335	aroL	CDS	shikimate kinase II
ECB_00336	yaiA	CDS	hypothetical protein
ECB_00337	aroM	CDS	hypothetical protein
ECB_00338	yaiE	CDS	hypothetical protein
ECB_00339	ykiA	CDS	hypothetical protein
ECB_00340	insB-5	CDS	IS1 protein InsB
ECB_00341	insA-5	CDS	IS1 protein InsA
ECB_00342	rdgC	CDS	recombination associated protein
ECB_00343	yajF	CDS	fructokinase
ECB_00344	araJ	CDS	predicted transporter
ECB_00345	sbcC	CDS	exonuclease, dsDNA, ATP-dependent
ECB_00346	sbcD	CDS	exonuclease, dsDNA, ATP-dependent
ECB_00347	phoB	CDS	DNA-binding response regulator in two-component regulatory system with PhoR (or CreC)
ECB_00348	phoR	CDS	sensory histidine kinase in two-component regulatory system with PhoB
ECB_00349	brnQ	CDS	predicted branched chain amino acid transporter (LIV-II)
ECB_00350	proY	CDS	predicted cryptic proline transporter
ECB_00351	malZ	CDS	maltodextrin glucosidase
ECB_00353	queA	CDS	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
ECB_00354	tgt	CDS	queuine tRNA-ribosyltransferase
ECB_00355	yajC	CDS	preprotein translocase subunit YajC
ECB_00356	secD	CDS	protein export protein SecD
ECB_00357	secF	CDS	protein export protein SecF
ECB_00358	yajD	CDS	hypothetical protein
ECB_00359	tsx	CDS	nucleoside channel, receptor of phage T6 and colicin K
ECB_00360	yajI	CDS	predicted lipoprotein
ECB_00361	ybaD	CDS	hypothetical protein
ECB_00362	ribD	CDS	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase
ECB_00363	ribH	CDS	riboflavin synthase subunit beta
ECB_00364	nusB	CDS	transcription antitermination protein NusB
ECB_00365	thiL	CDS	thiamine monophosphate kinase
ECB_00366	pgpA	CDS	phosphatidylglycerophosphatase A
ECB_00367	yajO	CDS	predicted oxidoreductase, NAD(P)-binding
ECB_00368	dxs	CDS	1-deoxy-D-xylulose-5-phosphate synthase
ECB_00369	ispA	CDS	geranyltranstransferase
ECB_00370	xseB	CDS	exodeoxyribonuclease VII small subunit
ECB_00371	thiI	CDS	thiamine biosynthesis protein ThiI
ECB_00372	thiJ	CDS	hypothetical protein
ECB_00373	apbA	CDS	2-dehydropantoate 2-reductase
ECB_00374	yajQ	CDS	nucleotide-binding protein
ECB_00375	yajR	CDS	predicted transporter
ECB_00376		CDS	hypothetical protein
ECB_00377		CDS	putative acetyltransferase
ECB_00378		CDS	conserved hypothetical protein
ECB_00379	cyoE	CDS	protoheme IX farnesyltransferase
ECB_00380	cyoD	CDS	cytochrome o ubiquinol oxidase subunit IV
ECB_00381	cyoC	CDS	cytochrome o ubiquinol oxidase subunit III
ECB_00382	cyoB	CDS	cytochrome o ubiquinol oxidase subunit I
ECB_00383	cyoA	CDS	cytochrome o ubiquinol oxidase subunit II
ECB_00384	ampG	CDS	muropeptide transporter
ECB_00385	yajG	CDS	predicted lipoprotein
ECB_00386	bolA	CDS	regulator of penicillin binding proteins and beta lactamase transcription (morphogene)
ECB_00387	tig	CDS	trigger factor
ECB_00388	clpP	CDS	ATP-dependent Clp protease proteolytic subunit
ECB_00389	clpX	CDS	ATP-dependent protease ATP-binding subunit
ECB_00390	insL-2	CDS	putative transposase insL for insertion sequence IS186
ECB_00391	lon	CDS	DNA-binding ATP-dependent protease La
ECB_00392	hupB	CDS	HU, DNA-binding transcriptional regulator, beta subunit
ECB_00393	ppiD	CDS	peptidyl-prolyl cis-trans isomerase (rotamase D)
ECB_00394	ybaV	CDS	hypothetical protein
ECB_00395	ybaW	CDS	hypothetical protein
ECB_00396	ybaX	CDS	predicted aluminum resistance protein
ECB_00397	ybaE	CDS	predicted transporter subunit: periplasmic-binding component of ABC superfamily
ECB_00398	cof	CDS	thiamin pyrimidine pyrophosphate hydrolase
ECB_00399	ybaO	CDS	predicted DNA-binding transcriptional regulator
ECB_00400	mdlA	CDS	fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components
ECB_00401	mdlB	CDS	fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components
ECB_00402	glnK	CDS	nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB
ECB_00403	amtB	CDS	ammonium transporter
ECB_00404	tesB	CDS	acyl-CoA thioesterase II
ECB_00405	ybaY	CDS	predicted outer membrane lipoprotein
ECB_00406	ybaZ	CDS	predicted methyltransferase
ECB_00407	ybaA	CDS	hypothetical protein
ECB_00408	ylaB	CDS	conserved inner membrane protein
ECB_00409	ylaC	CDS	predicted inner membrane protein
ECB_00410	maa	CDS	maltose O-acetyltransferase
ECB_00411	hha	CDS	modulator of gene expression, with H-NS
ECB_00412	ybaJ	CDS	hypothetical protein
ECB_00413	acrB	CDS	multidrug efflux system protein
ECB_00414	acrA	CDS	multidrug efflux system
ECB_00415	acrR	CDS	DNA-binding transcriptional repressor
ECB_00416	kefA	CDS	fused conserved hypothetical protein
ECB_00417	ybaM	CDS	hypothetical protein
ECB_00418	priC	CDS	primosomal replication protein N''
ECB_00419	ybaN	CDS	conserved inner membrane protein
ECB_00420	apt	CDS	adenine phosphoribosyltransferase
ECB_00421	dnaX	CDS	DNA polymerase III subunits gamma and tau
ECB_00422	ybaB	CDS	hypothetical protein
ECB_00423	recR	CDS	recombination protein RecR
ECB_00424	htpG	CDS	heat shock protein 90
ECB_00425	adk	CDS	adenylate kinase
ECB_00426	hemH	CDS	ferrochelatase
ECB_00427	aes	CDS	acetyl esterase
ECB_00428	gsk	CDS	inosine/guanosine kinase
ECB_00429	ybaL	CDS	predicted transporter with NAD(P)-binding Rossmann-fold domain
ECB_00430	fsr	CDS	predicted fosmidomycin efflux system
ECB_00431	ushA	CDS	UDP-sugar hydrolase
ECB_00432	ybaK	CDS	hypothetical protein
ECB_00433	ybaP	CDS	hypothetical protein
ECB_00434	ybaQ	CDS	predicted DNA-binding transcriptional regulator
ECB_00435	copA	CDS	copper transporter
ECB_00436	ybaS	CDS	predicted glutaminase
ECB_00437	ybaT	CDS	predicted transporter
ECB_00438	cueR	CDS	DNA-binding transcriptional activator protein
ECB_00439	ybbJ	CDS	conserved inner membrane protein
ECB_00440	ybbK	CDS	predicted protease, membrane anchored
ECB_00441	ybbL	CDS	predicted transporter subunit: ATP-binding component of ABC superfamily
ECB_00442	ybbM	CDS	predicted inner membrane protein
ECB_00443	ybbN	CDS	predicted thioredoxin domain-containing protein
ECB_00444	ybbO	CDS	short chain dehydrogenase
ECB_00445	tesA	CDS	multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1
ECB_00446	ybbA	CDS	predicted transporter subunit: ATP-binding component of ABC superfamily
ECB_00447	ybbP	CDS	predicted inner membrane protein
ECB_00448	rhsD	CDS	rhsD element protein
ECB_00449	ybbC	CDS	hypothetical protein
ECB_00450	ylbH	CDS	conserved hypothetical protein, rhs-like protein
ECB_00451	ybbD	CDS	hypothetical protein
ECB_00452	ylbG	CDS	predicted DNA-binding transcriptional regulator
ECB_00453	ybbB	CDS	tRNA 2-selenouridine synthase, selenophosphate-dependent
ECB_00454	ybbS	CDS	DNA-binding transcriptional activator of the allD operon
ECB_00455	allA	CDS	ureidoglycolate hydrolase
ECB_00456	allR	CDS	DNA-binding transcriptional repressor
ECB_00457	gcl	CDS	glyoxylate carboligase
ECB_00458	hyi	CDS	hydroxypyruvate isomerase
